OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;osm_id;fclass;population
1;Hadiach;Гадяч;UA5310300000;Hadiach;Hadiatska;Гадяцька;Hadiatska;Гадяцька;Poltavska;Полтавська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5310300000;33,988813170000000;50,363132810000003;227045548;town;22667
2;Kremenets;Кременець;UA6110700000;Kremenets;Kremenetska;Кременецька;Kremenetska;Кременецька;Ternopilska;Тернопільська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6110700000;25,729186400000000;50,093388320000003;312247291;town;21624
3;Berezhany;Бережани;UA6110500000;Berezhany;Berezhanska;Бережанська;Berezhanska;Бережанська;Ternopilska;Тернопільська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6110500000;24,937504910000001;49,441271430000000;312233653;town;18116
4;Zmiiv;Зміїв;UA6321710100;Zmiiv;Zmiivska;Зміївська;Zmiivskyi;Зміївський;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6321710100;36,344703850000002;49,676314689999998;;town;
5;Chuhuiv;Чугуїв;UA6312000000;Chuhuiv;Chuhuivska;Чугуївська;Chuhuivska;Чугуївська;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6312000000;36,678703270000000;49,835471650000002;264282090;town;32290
6;Vovchansk;Вовчанськ;UA6321610100;Vovchansk;Vovchanska;Вовчанська;Vovchanskyi;Вовчанський;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6321610100;36,944977039999998;50,286754569999999;337525302;town;18617
7;Vuhledar;Вугледар;UA1414800000;Vuhledar;Vuhledarska;Вугледарська;Vuhledarska;Вугледарська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1414800000;37,246220579999999;47,780138700000002;256614070;town;15486
8;Rozdilna;Роздільна;UA5123910100;Rozdilna;Rozdilnianska;Роздільнянська;Rozdilnianskyi;Роздільнянський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5123910100;30,072741740000001;46,850887530000001;337686106;town;17593
9;Vuhlehirsk;Вуглегірськ;UA1420910200;Vuhlehirsk;Vuhlehirska;Вуглегірська;Bakhmutskyi;Бахмутський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1420910200;38,271677529999998;48,313378159999999;256613872;town;8226
10;Podilsk;Подільськ;UA5111200000;Podilsk;Kotovska;Котовська;Kotovska;Котовська;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5111200000;29,531708309999999;47,750005930000000;337670266;town;40668
11;Reni;Рені;UA5124110100;Reni;Reniiska;Ренійська;Reniiskyi;Ренійський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5124110100;28,238725060000000;45,472398239999997;;town;
12;Biliaivka;Біляївка;UA5110500000;Biliaivka;Biliaivska;Біляївська;Biliaivska;Біляївська;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5110500000;30,217798640000002;46,478602350000003;337689781;town;12213
13;Vylkove;Вилкове;UA5122310300;Vylkove;Vylkivska;Вилківська;Kiliiskyi;Кілійський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5122310300;29,590174919999999;45,400966160000003;337695776;town;8570
14;Izmail;Ізмаїл;UA5110600000;Izmail;Izmailska;Ізмаїльська;Izmailska;Ізмаїлська;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5110600000;28,840807269999999;45,348426590000003;337696139;town;74421
15;Kiliia;Кілія;UA5122310100;Kiliia;Kiliiska;Кілійська;Kiliiskyi;Кілійський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5122310100;29,254101540000001;45,470623300000000;;town;
16;Kodyma;Кодима;UA5122510100;Kodyma;Kodymska;Кодимська;Kodymskyi;Кодимський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5122510100;29,127668220000000;48,094883279999998;337659471;town;8932
17;Chornomorsk;Чорноморськ;UA5110800000;Chornomorsk;Illichivska;Іллічівська;Illichivska;Іллічівська;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5110800000;30,651155469999999;46,302168490000000;337690843;town;59229
18;Zvenyhorodka;Звенигородка;UA7121210100;Zvenyhorodka;Zvenyhorodska;Звенигородська;Zvenyhorodskyi;Звенигородський;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;7121210100;30,963773029999999;49,079515450000002;337573399;town;18219
19;Bolhrad;Болград;UA5121410100;Bolhrad;Bolhradska;Болградська;Bolhradskyi;Болградський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5121410100;28,608787750000001;45,684467490000003;337693965;town;15479
20;Balta;Балта;UA5110200000;Balta;Baltska;Балтська;Baltska;Балтська;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5110200000;29,621371400000001;47,936551889999997;337665478;town;19353
21;Berezivka;Березівка;UA5121210100;Berezivka;Berezivska;Березівська;Berezivskyi;Березівський;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5121210100;30,902266170000001;47,203123280000000;337680625;town;9737
22;Artsyz;Арциз;UA5120410100;Artsyz;Artsyzka;Арцизька;Artsyzkyi;Арцизький;Odeska;Одеська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5120410100;29,406936909999999;45,980066330000000;337692505;town;15229
23;Bohodukhiv;Богодухів;UA6320810100;Bohodukhiv;Bohodukhivska;Богодухівська;Bohodukhivskyi;Богодухівський;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6320810100;35,520289130000002;50,163949240000001;27121092;town;19365
24;Valky;Валки;UA6321210100;Valky;Valkivska;Валківська;Valkivskyi;Валківський;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6321210100;35,616303670000001;49,837942169999998;337543361;town;10295
25;Dubno;Дубно;UA5610300000;Dubno;Dubenska;Дубенська;Dubenska;Дубенська;Rivnenska;Рівненська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5610300000;25,744115380000000;50,401674079999999;337522487;town;38037
26;Dnipro;Дніпро;UA1210100000;Dnipro;Dniprovska;Дніпровська;Dniprovska;Дніпровська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1210100000;35,006521890000002;48,465493000000002;337597818;town;1080486
