OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin2Name_ru;admin2Pcode;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;FID;osm_id;fclass;population
1;Rohan;Рогань;UA6325158500;Rohan;Rohanska;Роганська;Kharkivskyi;Харківський;Харьковский;UA63251;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325158500;36,484189170000001;49,893427250000002;29775;940916887;village;5046
2;Malynivka;Малинівка;UA6325455900;Malynivka;Malynivska;Малинівська;Chuhuivskyi;Чугуївський;Чугуевский;UA63254;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325455900;36,712833639999999;49,796978269999997;625;256614956;village;261
3;Sartana;Сартана;UA1412365300;Sartana;Sartanska;Сартанська;Mariupolska;Маріупольська;Мариупольский;UA14123;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1412365300;37,690611980000000;47,176443169999999;214;256613885;village;10772
4;Bile;Біле;UA4422255300;Bile;Bilivska;Білівська;Lutuhynskyi;Лутугинский;Лутугинский;UA44222;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4422255300;39,052729530000001;48,498453130000001;2689;337506075;village;304
5;Novopokrovka;Новопокровка;UA6325456200;Novopokrovka;Novopokrovska;Новопокровська;Chuhuivskyi;Чугуївський;Чугуевский;UA63254;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325456200;36,547395960000003;49,835601590000003;12138;337543316;village;5027
6;Pechenihy;Печеніги;UA6324655100;Pechenihy;Pechenizka;Печенізька;Pechenizkyi;Печенізький;Печенежский;UA63246;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6324655100;36,931595369999997;49,870022100000000;11920;337542401;village;6033
7;Vvedenka;Введенка;UA6325455300;Vvedenka;Vvedenska;Введенська;Chuhuivskyi;Чугуївський;Чугуевский;UA63254;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325455300;36,505010970000001;49,823815570000001;12233;337543657;village;2710
8;Eskhar;Есхар;UA6325456800;Eskhar;Eskharivska;Есхарівська;Chuhuivskyi;Чугуївський;Чугуевский;UA63254;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325456800;36,589679130000000;49,795237540000002;12537;337544814;village;5602
9;Staryi Saltiv;Старий Салтів;UA6321655800;Staryi Saltiv;Starosaltivska;Старосалтівська;Vovchanskyi;Вовчанський;Волчанский;UA63216;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6321655800;36,791656359999998;50,080336180000003;30120;1611105077;village;4073
10;Andriivka;Андріївка;UA1421555100;Andriivka;Andriivska;Андріївська;Volnovaskyi;Волноваський;Волновахский;UA14215;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);1421555100;37,655846470000000;47,460952040000002;296;256614035;village;2236
